Chapter No,Verse No,Shloka,English Translation,Explanation,filter_expl
1,11,अयनेषु च सर्वेषु यथाभागमवस्थिता: | भीष्ममेवाभिरक्षन्तु भवन्त: सर्व एव हि ॥11॥,"However, venerable sirs, all of you without exception, while occupying all the positions in the different directions as allotted (to you respectively), please fully protect Bhisma in particular.",Duryodhana urged all the Kaurava generals to make sure they are around Grandsire Bheeshma and give him full support while they defend their own respective positions in the military phalanx. Duryodhana beheld Bheeshma’s unassailability as an advantage and wanted to use it as strength and inspiration for his army.,duryodhana urged kaurava generals make sure around grandsire bheeshma give full support defend respective positions military phalanx duryodhana beheld bheeshma unassailability advantage wanted use strength inspiration army
1,12,तस्य सञ्जनयन्हर्षं कुरुवृद्ध: पितामह: | सिंहनादं विनद्योच्चै: शङ्खं दध्मौ प्रतापवान् ॥12॥,"The valiant grandfather, the eldest of the Kurus, loudly sounding a lion-roar, blew the conch to raise his (Duryodhana's) spirits.","Bheeshma was aware that Duryodhana had no chance of victory as the Supreme Lord Shree Krishna was on the opposite side. However, he understood his grand-nephew’s anxiety and to cheer him up he blew his conch shell loudly. In olden days, blowing of the conch shell in the battlefield signaled the start of the war. This also conveyed to Duryodhana that Bheeshma was ready to lead the Kaurava army and he would fight dutifully and spare no pain.",bheeshma aware duryodhana chance victory supreme lord shree krishna opposite side however understood grandnephew anxiety cheer blew conch shell loudly in olden days blowing conch shell battlefield signaled start war this also conveyed duryodhana bheeshma ready lead kaurava army would fight dutifully spare pain
1,13,तत: शङ्खाश्च भेर्यश्च पणवानकगोमुखा: | सहसैवाभ्यहन्यन्त स शब्दस्तुमुलोऽभवत् ॥13॥,"Just immediately after that conchs and kettledrums, and tabors, trumpets and cow-horns blared forth. That sound became tumultuous.","On hearing Bheeshma’s call for battle, everyone in the Kaurava army also started playing various instruments eagerly, creating tumultuous sound. Shaṅkhāḥ means conches, paṇav are drums, ānak kettledrums, bhreyah bugles, and go-mukh are blowing horns. All these instruments playing together created a loud pandemonium.",on hearing bheeshma call battle everyone kaurava army also started playing various instruments eagerly creating tumultuous sound shaṅkhāḥ means conches paṇav drums ānak kettledrums bhreyah bugles gomukh blowing horns all instruments playing together created loud pandemonium
1,14,तत: श्वेतैर्हयैर्युक्ते महति स्यन्दने स्थितौ | माधव: पाण्डवश्चैव दिव्यौ शङ्खौ प्रदध्मतु: ॥14॥,"Then, Madhava (Krishna) and the son of Pandu (Arjuna), stationed in their magnificent chariot with white horses attached to it, loudly blew their divine conchs.","The uproar of the Kaurava army had started to wane. Then from the Pandava side, seated on a magnificent chariot the Supreme Lord Shree Krishna and Arjun, both blew their conch shells intrepidly, which ignited the enthusiasm of the Pandava army as well.Here, Sanjay has addressed Lord Shree Krishna as “Madhav”. It is a combination of two words, Mā which refers to goddess Lakshmi, the goddess of prosperity and dhav is used for husband. Goddess Lakshmi is Lord Vishnu’s wife, who is one of the many forms of Shree Krishna. This verse implies that the goddess of prosperity was with the Pandavas, and by her grace, they would be triumphant in this war and reclaim their kingdom soon.The sons of King Pandu are called Pandavas and it may be used for any of the five brothers. In this verse, the Pandava being referred to is Arjun, the third among the five. He was a mighty warrior and a superior archer. His magnificent chariot was a gift from Agni, the celestial god of fire.",the uproar kaurava army started wane then pandava side seated magnificent chariot supreme lord shree krishna arjun blew conch shells intrepidly ignited enthusiasm pandava army wellhere sanjay addressed lord shree krishna madhav it combination two words mā refers goddess lakshmi goddess prosperity dhav used husband goddess lakshmi lord vishnu wife one many forms shree krishna this verse implies goddess prosperity pandavas grace would triumphant war reclaim kingdom soonthe sons king pandu called pandavas may used five brothers in verse pandava referred arjun third among five he mighty warrior superior archer his magnificent chariot gift agni celestial god fire
1,15,पाञ्चजन्यं हृषीकेशो देवदत्तं धनञ्जय: | पौण्ड्रं दध्मौ महाशङ्खं भीमकर्मा वृकोदर: ॥15॥,Hrsikesa (Krishna) blew the conch Pancajanya; Dhananjaya (Arjuna) (the conch) Devadatta; and Vrkodara (Bhima) of terrible deeds blew the great conch Paundra;,"In this verse, Shree Krishna is addressed as “Hrishikesh” which means the Lord of the mind and senses. Shree Krishna is the Sovereign Master of everybody’s minds and senses. Throughout his wonderful pastimes, he displayed complete control over his mind and senses.",in verse shree krishna addressed hrishikesh means lord mind senses shree krishna sovereign master everybody minds senses throughout wonderful pastimes displayed complete control mind senses
1,16,अनन्तविजयं राजा कुन्तीपुत्रो युधिष्ठिर: | नकुल: सहदेवश्च सुघोषमणिपुष्पकौ ॥16॥,"King Yudhisthira, son of Kunti, (blew) the Anantavijaya; Nakula and Sahadeva, the Sughosa and the Manipuspaka (respectively).","Yudhisthtira, the eldest Pandava is being addressed here as “King.” He always displayed royal grace and nobility, whether living in a palace or in a forest when in exile. He also got this title by performing the Rājasūya Yajña a royal sacrifice, which earned him tributes from all the other kings of the world.  In this verse, Sanjay also called Dhritarashtra the “Ruler of the earth.” The real reason for this appellation was to remind him of his duties as the ruler of the country. With so many kings and princes participating from both sides in this war, it was as if the entire earth was split into two parties. It was definite that this mammoth war would cause irreversible destruction. The only person who could stop the war at this juncture was Dhritarashtra, and Sanjay wanted to know if he was willing to do that.",yudhisthtira eldest pandava addressed king he always displayed royal grace nobility whether living palace forest exile he also got title performing rājasūya yajña royal sacrifice earned tributes kings world in verse sanjay also called dhritarashtra ruler earth the real reason appellation remind duties ruler country with many kings princes participating sides war entire earth split two parties it definite mammoth war would cause irreversible destruction the person could stop war juncture dhritarashtra sanjay wanted know willing
1,17,काश्यश्च परमेष्वास: शिखण्डी च महारथ: | धृष्टद्युम्नो विराटश्च सात्यकिश्चापराजित: ॥17॥,"And the King of Kasi, wielding a great bow, and the great chariot-rider Sikhandi, Dhrstadyumna and Virata, and Satyaki the unconquered;","Yudhisthtira, the eldest Pandava is being addressed here as “King.” He always displayed royal grace and nobility, whether living in a palace or in a forest when in exile. He also got this title by performing the Rājasūya Yajña a royal sacrifice, which earned him tributes from all the other kings of the world.  In this verse, Sanjay also called Dhritarashtra the “Ruler of the earth.” The real reason for this appellation was to remind him of his duties as the ruler of the country. With so many kings and princes participating from both sides in this war, it was as if the entire earth was split into two parties. It was definite that this mammoth war would cause irreversible destruction. The only person who could stop the war at this juncture was Dhritarashtra, and Sanjay wanted to know if he was willing to do that.",yudhisthtira eldest pandava addressed king he always displayed royal grace nobility whether living palace forest exile he also got title performing rājasūya yajña royal sacrifice earned tributes kings world in verse sanjay also called dhritarashtra ruler earth the real reason appellation remind duties ruler country with many kings princes participating sides war entire earth split two parties it definite mammoth war would cause irreversible destruction the person could stop war juncture dhritarashtra sanjay wanted know willing
1,18,द्रुपदो द्रौपदेयाश्च सर्वश: पृथिवीपते | सौभद्रश्च महाबाहु: शङ्खान्दध्मु: पृथक् पृथक् ॥18॥,"Drupada and the sons of Draupadi, and the son of Subhadra, (Abhimanyu) the mighty-armed all (of them) together, O king, blew their respective conchs.","Yudhisthtira, the eldest Pandava is being addressed here as “King.” He always displayed royal grace and nobility, whether living in a palace or in a forest when in exile. He also got this title by performing the Rājasūya Yajña a royal sacrifice, which earned him tributes from all the other kings of the world.  In this verse, Sanjay also called Dhritarashtra the “Ruler of the earth.” The real reason for this appellation was to remind him of his duties as the ruler of the country. With so many kings and princes participating from both sides in this war, it was as if the entire earth was split into two parties. It was definite that this mammoth war would cause irreversible destruction. The only person who could stop the war at this juncture was Dhritarashtra, and Sanjay wanted to know if he was willing to do that.",yudhisthtira eldest pandava addressed king he always displayed royal grace nobility whether living palace forest exile he also got title performing rājasūya yajña royal sacrifice earned tributes kings world in verse sanjay also called dhritarashtra ruler earth the real reason appellation remind duties ruler country with many kings princes participating sides war entire earth split two parties it definite mammoth war would cause irreversible destruction the person could stop war juncture dhritarashtra sanjay wanted know willing
1,19,स घोषो धार्तराष्ट्राणां हृदयानि व्यदारयत् | नभश्च पृथिवीं चैव तुमुलो नुनादयन् ॥19॥,That tremendous sound pierced the hearts of the sons of Dhrtarastra as it reverberated through the sky and the earth.,"Sanjay conveyed to Dhritarashtra, that the tremendous sound of the various conch shells from the Pandava army was shattering the hearts of his sons. Whereas, he did not mention any such reaction from the Pandavas, when the Kauravas were creating a commotion. The Kauravas were fearful, as their conscience pricked them for their crimes and misdeeds. They were relying solely on their physical strength to fight the war. However, the Pandavas were confident and felt protected, as the Supreme Lord Shree Krishna was by their side, their victory was definite.",sanjay conveyed dhritarashtra tremendous sound various conch shells pandava army shattering hearts sons whereas not mention reaction pandavas kauravas creating commotion the kauravas fearful conscience pricked crimes misdeeds they relying solely physical strength fight war however pandavas confident felt protected supreme lord shree krishna side victory definite
1,20,अथ व्यवस्थितान्दृष्ट्वा धार्तराष्ट्रान् कपिध्वज: | प्रवृत्ते शस्त्रसम्पाते धनुरुद्यम्य पाण्डव: ॥20॥ हृषीकेशं तदा वाक्यमिदमाह महीपते |,"O king, thereafter, seeing Dhrtarastra's men standing in their positions, when all the weapons were ready for action, the son of Pandu (Arjuna) who had the insignia of Hanuman on his chariot-flag, raising up his bow, said the following to Hrsikesa.","Here Sanjay addresses Arjun by another name, “Kapi Dhwaj,” which means “Monkey Bannered.” This denotes the presence of the mighty Monkey God; Hanuman on Arjun’s chariot. It so happened that, once Arjun became very boastful of his archery skills and quipped at Shree Krishna. He said, “I do not understand why during Lord Rama’s time, the monkeys worked so hard to make a bridge from India to Lanka with heavy stones? If I was there, I would have made a bridge of arrows.” The Omniscient Lord asked him, “Alright, go ahead show me your bridge.”  Very skillfully Arjun showered thousands of arrows and made a huge bridge. Now, it was time to test it. Shree Krishna called upon great Hanuman for the job. As soon as Hanuman started walking on the bridge, it started crumbling under his feet. Arjun realized his folly; his bridge of arrows could not have upheld the weight of Lord Rama’s huge army. He asked for their forgiveness. Subsequently, Hanuman gave Arjun lessons on being humble and never be proud of his skills. He also granted Arjun a boon that, during the great war, he would seat himself on Arjun’s chariot. Therefore, Arjun’s chariot flag carried the insignia of the great Hanuman.",here sanjay addresses arjun another name kapi dhwaj means monkey bannered this denotes presence mighty monkey god hanuman arjun chariot it happened arjun became boastful archery skills quipped shree krishna he said i not understand lord rama time monkeys worked hard make bridge india lanka heavy stones if i i would made bridge arrows the omniscient lord asked alright go ahead show bridge very skillfully arjun showered thousands arrows made huge bridge now time test shree krishna called upon great hanuman job as soon hanuman started walking bridge started crumbling feet arjun realized folly bridge arrows could not upheld weight lord rama huge army he asked forgiveness subsequently hanuman gave arjun lessons humble never proud skills he also granted arjun boon great war would seat arjun chariot therefore arjun chariot flag carried insignia great hanuman
1,21,अर्जुन उवाच | सेनयोरुभयोर्मध्ये रथं स्थापय मेऽच्युत ॥21॥,"Arjuna said: O Acyuta, please place my chariot between both the armies.","Arjun was a skilled warrior, and the most powerful Hanuman was sitting on top of his magnificent chariot. Moreover, his devotion towards the Supreme Lord Shree Krishna was such that, the Lord himself had agreed to be Arjun’s charioteer. Here, Arjun was seated on the passenger seat giving instructions to Shree Krishna, his charioteer. He addresses the Lord as Achyuta, the most dependable One and requests him to place the chariot in the middle of the battlefield.ahaṁ bhakta-parādhīno hyasvatantra iva dvija sādhubhir grasta-hṛidayo bhaktair bhakta-jana-priyaḥ(Bhagavatam 9.4.63)“Although I am Supremely Independent, yet I become enslaved by My devotees.  They are very dear to Me, and I become indebted to them for their love.”  Such is the beauty of God’s bond with his devotees that He gets enslaved, beholden by His devotees’ love.",arjun skilled warrior powerful hanuman sitting top magnificent chariot moreover devotion towards supreme lord shree krishna lord agreed arjun charioteer here arjun seated passenger seat giving instructions shree krishna charioteer he addresses lord achyuta dependable one requests place chariot middle battlefieldahaṁ bhaktaparādhīno hyasvatantra iva dvija sādhubhir grastahṛidayo bhaktair bhaktajanapriyaḥ bhagavatam although i supremely independent yet i become enslaved my devotees they dear me i become indebted love such beauty god bond devotees he gets enslaved beholden his devotees love
1,22,यावदेतान्निरीक्षेऽहं योद्धुकामानवस्थितान् | कैर्मया सह योद्धव्यमस्मिन् रणसमुद्यमे ॥22॥,"And keep it there until I survey these who stand intent on fighting, and those who are going to engage in battle with me in this impending war.","Arjun was a skilled warrior, and the most powerful Hanuman was sitting on top of his magnificent chariot. Moreover, his devotion towards the Supreme Lord Shree Krishna was such that, the Lord himself had agreed to be Arjun’s charioteer. Here, Arjun was seated on the passenger seat giving instructions to Shree Krishna, his charioteer. He addresses the Lord as Achyuta, the most dependable One and requests him to place the chariot in the middle of the battlefield.ahaṁ bhakta-parādhīno hyasvatantra iva dvija sādhubhir grasta-hṛidayo bhaktair bhakta-jana-priyaḥ(Bhagavatam 9.4.63)“Although I am Supremely Independent, yet I become enslaved by My devotees.  They are very dear to Me, and I become indebted to them for their love.”  Such is the beauty of God’s bond with his devotees that He gets enslaved, beholden by His devotees’ love.",arjun skilled warrior powerful hanuman sitting top magnificent chariot moreover devotion towards supreme lord shree krishna lord agreed arjun charioteer here arjun seated passenger seat giving instructions shree krishna charioteer he addresses lord achyuta dependable one requests place chariot middle battlefieldahaṁ bhaktaparādhīno hyasvatantra iva dvija sādhubhir grastahṛidayo bhaktair bhaktajanapriyaḥ bhagavatam although i supremely independent yet i become enslaved my devotees they dear me i become indebted love such beauty god bond devotees he gets enslaved beholden his devotees love
1,23,योत्स्यमानानवेक्षेऽहं य एतेऽत्र समागता: | धार्तराष्ट्रस्य दुर्बुद्धेर्युद्धे प्रियचिकीर्षव: ॥23॥,"These who have assembled here and want to accomplish in the war what is dear to the perverted son of Dhrtarastra, I find them to be intent on fighting.","Arjun was fearless, the Supreme Lord was his charioteer. His outlook was that the Pandavas were legitimately entitled to half the kingdom of Hastinapur, but the wicked sons of Dhritarashtra, the Kauravas had not agreed to share. Arjun was ready for battle, eager to get back what was rightfully theirs and punish them for all their past wrongdoings.His request for the chariot to be placed in the middle of the battlefield was to take a closer look at the Kaurava army. Arjun wanted to see all those who had taken the side of injustice. He wanted to punish them equally, as they had chosen to be on the wrong side, none of them would be spared.",arjun fearless supreme lord charioteer his outlook pandavas legitimately entitled half kingdom hastinapur wicked sons dhritarashtra kauravas not agreed share arjun ready battle eager get back rightfully punish past wrongdoingshis request chariot placed middle battlefield take closer look kaurava army arjun wanted see taken side injustice he wanted punish equally chosen wrong side none would spared
1,24,सञ्जय उवाच | एवमुक्तो हृषीकेशो गुडाकेशेन भारत | सेनयोरुभयोर्मध्ये स्थापयित्वा रथोत्तमम् ॥24॥,"Sanjay said: O scion of the line of Bharata (Dhrtararastra), Hrsikesa, being told so by Gudakesa (Arjuna), placed the excellent chariot between the two armies.","Here, Dhritarashtra is being addressed as Bhārata by Sanjay, which means, “O descendant of the great King Bharat.”",here dhritarashtra addressed bhārata sanjay means o descendant great king bharat
